Team,win_pct,three_pct,two_pct,fta_fga,orb,ast
Atlanta Hawks,29.85074627,0.333,0.525,0.258278146,9.9,24
Boston Celtics*,66.66666667,0.364,0.522,0.258928571,10.7,23
Brooklyn Nets*,48.61111111,0.343,0.524,0.266888151,10.6,24.5
Charlotte Hornets,35.38461538,0.352,0.489,0.25145518,11,23.8
Chicago Bulls,33.84615385,0.348,0.511,0.231376975,10.5,23.2
Cleveland Cavaliers,29.23076923,0.351,0.519,0.226393629,10.8,23.1
Dallas Mavericks*,57.33333333,0.367,0.541,0.263565891,10.5,24.7
Denver Nuggets*,63.01369863,0.359,0.533,0.235095613,10.8,26.7
Detroit Pistons,30.3030303,0.367,0.515,0.261376896,9.8,24.1
Golden State Warriors,23.07692308,0.334,0.495,0.263038549,10,25.6
Houston Rockets*,61.11111111,0.345,0.557,0.288716814,9.8,21.6
Indiana Pacers*,61.64383562,0.363,0.529,0.215819209,8.7,25.9
Los Angeles Clippers*,68.05555556,0.371,0.522,0.294843049,10.7,23.7
Los Angeles Lakers*,73.23943662,0.349,0.552,0.275198188,10.7,25.4
Memphis Grizzlies,46.57534247,0.347,0.532,0.239823982,10.3,26.9
Miami Heat*,60.2739726,0.379,0.532,0.298578199,8.5,25.9
Milwaukee Bucks*,76.71232877,0.355,0.567,0.271727173,9.5,25.9
Minnesota Timberwolves,29.6875,0.336,0.521,0.277292576,10.5,23.8
New Orleans Pelicans,41.66666667,0.37,0.528,0.255458515,11.1,26.8
New York Knicks,31.81818182,0.337,0.499,0.263157895,12,22.1
Oklahoma City Thunder*,61.11111111,0.355,0.529,0.29005848,8.2,21.7
Orlando Magic*,45.20547945,0.343,0.502,0.256207675,10.3,23.9
Philadelphia 76ers*,58.90410959,0.368,0.524,0.25483504,10.5,25.8
Phoenix Suns,46.57534247,0.358,0.529,0.27014756,9.8,27.2
Portland Trail Blazers*,47.2972973,0.377,0.514,0.242324561,10.2,20.6
Sacramento Kings,43.05555556,0.364,0.527,0.229638009,9.7,23.8
San Antonio Spurs,45.07042254,0.376,0.516,0.261744966,9,24.7
Toronto Raptors*,73.61111111,0.374,0.519,0.263936291,9.5,25.2
Utah Jazz*,61.11111111,0.38,0.535,0.267920094,9.1,22.4
Washington Wizards,34.72222222,0.368,0.506,0.270627063,10.2,25
